Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1
0.6,11,0,12,4,0.8518518518518519,1.0,0.7333333333333333,0.846153846153846
0.61,13,0,12,2,0.9259259259259259,1.0,0.8666666666666667,0.9285714285714286
0.62,13,0,12,2,0.9259259259259259,1.0,0.8666666666666667,0.9285714285714286
0.63,13,0,12,2,0.9259259259259259,1.0,0.8666666666666667,0.9285714285714286
0.64,14,2,10,1,0.8888888888888888,0.875,0.9333333333333333,0.9032258064516129
0.65,15,2,10,0,0.9259259259259259,0.8823529411764706,1.0,0.9375
0.66,15,2,10,0,0.9259259259259259,0.8823529411764706,1.0,0.9375
0.67,15,2,10,0,0.9259259259259259,0.8823529411764706,1.0,0.9375
0.68,15,2,10,0,0.9259259259259259,0.8823529411764706,1.0,0.9375
0.69,15,2,10,0,0.9259259259259259,0.8823529411764706,1.0,0.9375
0.7,15,3,9,0,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091
